Run ID	Country	Date	Lat Lon
SRR3917563	USA	2013-05-03	40.829 N 96.667 W
ERR414708	Spain	2008/2010	
ERR589548	China	2012	
ERR209261	Denmark	2008-2010	
ERR209329	Denmark	2008-2010	
ERR532389	China	2011	
ERR414711	Spain	2008/2010	
ERR481067	Germany	2011/2013	
ERR210089	Denmark	2008-2010	
ERR748460	Germany	2011/2014	
SRR1930253	Italy	Apr-2013	44.4950537 N 11.3427401 E
ERR748072	Germany	2011/2014	
ERR528740	China	2011	
ERR480551	France	2004/2006	
SRR2043624	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR210271	Denmark	2008-2010	
ERR504978	China	2008/2010	
ERR321415	Denmark	2008-2010	
ERR527209	China	2011	
ERR528728	China	2011	
SRR2190826	China	2014-03-01	32.12 N 118.95 E
ERR480911	France	2004/2006	
ERR209896	Spain	2008-2010	
SRR1544596	Luxembourg	12-Oct-2011	49.5135 N 6.01799 E
ERR1578694	China	2013	
ERR748470	Germany	2011/2014	
ERR589821	China	2012	
ERR414271	Denmark	2008/2010	
ERR209295	Denmark	2008-2010	
ERR748418	Germany	2011/2014	
ERR479577	Germany	2011/2013	
ERR210645	Spain	2008-2010	
ERR479381	France	2004/2006	
ERR527073	China	2011	
ERR479333	France	2004/2006	
ERR479045	France	2004/2006	
ERR321459	Denmark	2008-2010	
SRR2062049	USA	28-Jun-2013	43.727094 N 72.425964 W
ERR480622	France	2004/2006	
ERR210543	Spain	2008-2010	
ERR479320	France	2004/2006	
ERR209287	Denmark	2008-2010	
ERR480939	Germany	2011/2013	
SRR3182135	USA	2014-01-24	38.984652 N 77.094709 W
SRR2043638	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR321306	Denmark	2008-2010	
ERR589578	China	2012	
SRR2940955	USA	2011-10-10	Not applicable
ERR479351	France	2004/2006	
ERR321425	Denmark	2008-2010	
ERR480570	France	2004/2006	
ERR210391	Spain	2008-2010	
SRR1750103	USA	30-Jun-2014	40.67 N 73.99 W
ERR321178	Denmark	2008-2010	
SRR1621001	USA	2011-09-30	38.984652 N 77.094709 W
ERR210215	Denmark	2008-2010	
ERR480711	France	2004/2006	
ERR480468	France	2004/2006	
ERR414330	Denmark	2008/2010	
ERR210175	Denmark	2008-2010	
ERR480546	France	2004/2006	
ERR321628	Denmark	2008-2010	
ERR1190861	China	2014	
ERR478969	France	2004/2006	
ERR480885	France	2004/2006	
ERR479526	Germany	2011/2013	
ERR504984	China	2008/2010	
ERR210420	Spain	2008-2010	
SRR2043627	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR1018285	China	2012	
ERR748047	Germany	2011/2014	
ERR748358	Germany	2011/2014	
ERR528292	China	2011	
ERR210649	Spain	2008-2010	
SRR1168487	Starkville, MS, USA	Dec-2013	33.43047, -88.82785
ERR209264	Denmark	2008-2010	
ERR589822	China	2012	
ERR321246	Denmark	2008-2010	
SRR2566040	Canada	2010-03-02	45.50 N 73.63 W
ERR260484	Germany	2011	
ERR479168	France	2004/2006	
SRR2938328	Peru	15-Jan-2013	
ERR525844	Denmark	2008/2010	
ERR480528	France	2004/2006	
ERR480543	France	2004/2006	
ERR210166	Denmark	2008-2010	
SRR2082449	Canada	2013	53.520710 N 113.524239 W
ERR480917	Germany	2011/2013	
ERR532377	China	2011	
ERR209158	Denmark	2008-2010	
SRR3100152	Israel	2013-03-21	30.871124 N 34.78456 E
ERR414623	Denmark	2008/2010	
ERR209786	Spain	2008-2010	
ERR321565	Denmark	2008-2010	
ERR748379	Germany	2011/2014	
