#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
North_Kurdufan|00000000|Sudan|3	Cinek lab sample 285 B unknown	unknown	12.862807,30.217636	B	12.862807	30.217636				Sudan	North Kurdufan	Assembly of 4 reads: 285_B_intf.ab1 (reversed), 285_B_r.ab1, 285_B_f.ab1 (reversed), 285_B_intr.ab1			Ondrej Cinek	Univerzita Karlova		f								
Lodz|20160303|Poland|4	Decewicz Dziewit Primer B Lodz 20160303	20160303	51.727940,19.347618	B	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Zerdab|20031229|Azerbaijan|1	Cinek lab sample 326 B 20031229	20031229	40.143105,47.576927	B	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 326_B_intf.ab1 (reversed), 326_B_r.ab1, 326_B_f.ab1 (reversed), 326_B_intr.ab1			Ondrej Cinek	Univerzita Karlova		f								
Oslo|20050926|Norway|2	Cinek.Norway.amplicons.T7667_B	20050926	59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20050926		200509	Sanger						
Baki|20170421|Azerbaijan|1	Cinek primer B sample 335 20170421	20170421	40.4093,49.8671	B	40.4093	49.8671	335			Azerbaijan	Baki				Ondrej Cinek	Univerzita Karlova										
North_Kurdufan|00000000|Sudan|1	Cinek lab sample 259 B unknown	unknown	12.862807,30.217636	B	12.862807	30.217636				Sudan	North Kurdufan	Assembly of 4 reads: 259_B_intf.ab1 (reversed), 259_B_r.ab1, 259_B_f.ab1 (reversed), 259_B_intr.ab1			Ondrej Cinek	Univerzita Karlova		f								
North_Kurdufan|00000000|Sudan|2	Cinek lab sample 298 B unknown	unknown	12.862807,30.217636	B	12.862807	30.217636				Sudan	North Kurdufan	Assembly of 4 reads: 298_B_intr.ab1 (reversed), 298_B_f.ab1, 298_B_r.ab1 (reversed), 298_B_intf.ab1			Ondrej Cinek	Univerzita Karlova		m								
Qalqilya|20151202|Israel|1	Qimron lab primer B 20151202	20151202	32.18,34.97	B	32.18	34.97				Israel	Qalqilya	Collected in Qalqilyah			Udi Qimron	Tel Aviv University										
Escondido|20161101|USA|1	Escondido Primer B Site 1 20161101	20161101	33.105788,-117.114064	B	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University			201611						1	
Baki|20170421|Azerbaijan|3	Cinek primer B sample 353 20170421	20170421	40.4093,49.8671	B	40.4093	49.8671	353			Azerbaijan	Baki				Ondrej Cinek	Univerzita Karlova										
Zerdab|20050412|Azerbaijan|1	Cinek lab sample 354 B 20050412	20050412	40.143105,47.576927	B	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 3 reads: 354_B_intr.ab1 (reversed), 354_B_f.ab1, 354_B_intf.ab1			Ondrej Cinek	Univerzita Karlova		f								
San_Marcos|20160301|USA|1	San_Marcos Primer B Site 4 20160301	20160301	33.144526,-117.178849	B	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University			201603						4	
Rybienko_Stare|20160126|Poland|3	Decewicz Dziewit Primer B Wyszkow 20160126	20160126	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Encinitas|20151209|USA|1	Edwards Primer B Site 2 20151209	20151209	33.016467,-117.273686	B	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 92007-7077		Rob Edwards	San Diego State University										
Novosibirskiy_rayon|20160301|Russia|3	Tyakht Nov_287_B primer B	20160301	55.03,82.57	B	55.03	82.57				Russia	Novosibirskiy rayon		Novosibirsk, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine										
Carlsbad|20161101|USA|1	Carlsbad Primer B Site 3 20161101	20161101	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201611						3	
Zastavka|20151201|Czech_Republic|1	Cinek primer B sample 15 20151201	20151201	49.1874756,16.3586742	B	49.1874756	16.3586742	306	Ceske Budejovice	pre-sewage treatment plant	Czech_Republic	Zastavka				Ondrej Cinek	Univerzita Karlova										
Lodz|20160303|Poland|1	Decewicz Dziewit Primer B Lodz 20160303	20160303	51.727940,19.347618	B	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Davis|20160421|United_States|1	DiazMunoz_Davis1_B	20160421	38.590894,-121.666779	B	38.590894	-121.666779				United States	Davis		City of Davis WWTP, 45452 Co Rd 28H, California 95776, USA	8.659m												
Ostrava|20151201|Czech_Republic|2	Cinek primer B sample 18 20151201	20151201	49.8346453,18.2820442	B	49.8346453	18.2820442	352	Usti n. Labem	pre-sewage treatment plant	Czech_Republic	Ostrava				Ondrej Cinek	Univerzita Karlova										
