SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
SRR2043630	3.23574	0	1.52841	0	2.54883	0
ERR209328	3.24249	0	2.53875	0	3.20904	0
ERR209267	3.25075	0	4.58524	0	4.38983	0
SRR1491437	3.25526	0	2.48856	0	1.90073	0
ERR1137085	3.25526	0	3.75424	0	3.2268	0
ERR209243	3.25526	0	2.94982	0	3.30508	0
ERR878301	3.25751	0	3.04354	0	4.6473	0
ERR1512998	3.26802	0	2.87749	0	4.03471	0
ERR719092	3.27102	0	3.31956	0	4.29298	0
ERR1136726	3.27553	0	2.54465	0	2.17595	0
SRR1212149	3.27778	0	2.10185	0	0.933818	0
SRR3100148	3.28453	0	6.1321	0	3.36965	0
SRR1145849	3.28529	0	2.99041	0	3.30186	0
SRR1491079	3.28754	0	1.52177	0	1.3406	0
SRR1918919	3.28829	0	3.73432	0	3.44794	0
SRR1215878	3.29054	0	1.50627	0	1.01937	0
ERR719420	3.30105	0	1.99336	0	3.75141	0
SRR1490908	3.3018	0	1.36531	0	0.996772	2
ERR719439	3.30556	0	3.70849	0	5.17676	0
SRR3917563	3.30706	0	5.3572	0	3.59968	0
SRR1804282	3.31156	0	3.60664	0	3.88458	0
SRR3501851	3.31607	0	4.07823	0	2.6473	0
SRR1805044	3.31682	0	2.85387	0	2.64245	0
SRR1437756	3.32282	0	2.76605	0	2.21227	0
ERR260224	3.33183	0	3.18672	0	2.56901	0
SRR1952607	3.34234	0	1.70775	0	2.1937	0
ERR480820	3.3521	0	3.75203	0	4.03551	0
ERR321304	3.35435	0	3.88561	0	3.50525	0
ERR414325	3.35736	0	1.78893	0	3.79096	0
SRR2566021	3.35811	0	1.62952	0	4.26796	0
SRR3182134	3.35886	0	2.26863	0	2.56497	0
ERR1137334	3.36787	0	3.75277	0	3.56336	0
ERR719426	3.36937	0	3.08118	0	3.65375	0
ERR688638	3.37012	0	4.19336	0	1.83132	0
SRR041658	3.37387	0	3.01181	0	1.81195	0
ERR1297837	3.38664	0	2.88413	0	3.08878	0
ERR1305937	3.39189	0	2.82214	0	3.04116	0
ERR209521	3.39414	0	5.32915	0	5.54157	0
ERR719440	3.3994	0	3.39262	0	5.636	0
ERR321528	3.3994	0	4.57122	0	3.94754	0
ERR1136708	3.4039	0	3.9417	0	3.98305	0
