#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Ceske_Budejovice|20151201|Czech_Republic|1	Cinek primer A sample 4 20151201	20151201	48.9744694,14.4743417	A	48.9744694	14.4743417	466	Usti nad Labem	pre-sewage treatment plant	Czech_Republic	Ceske Budejovice			Ondrej Cinek	Univerzita Karlova											
Oswiecim|20160303|Poland|5	Decewicz Dziewit Primer A Oswiecim 20160303	20160303	50.038062,19.321854	A	50.038062	19.321854				Poland	Oswiecim	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw											
Davis|20160421|United_States|1	DiazMunoz_Davis1_A	20160421	38.590894,-121.666779	A	38.590894	-121.666779				United States	Davis	City of Davis WWTP, 45452 Co Rd 28H, California 95776, USA	8.659m													
Khartoum|20160309|Sudan|1	Cinek primer A sample 274 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	274			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160309										
San_Marcos|20151209|USA|1	Edwards Primer A Site 4 20151209	20151209	33.144526,-117.178849	A	33.144526	-117.178849				USA	San Marcos	Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University											
Haacht|20160126|Belgium|1	Lavigne Primer A 20160126	20160126	50.9598476,4.6350655	A	50.9598476	4.6350655				Belgium	Haacht			Rob Lavigne	KU Leuven											
Encinitas|20151002|USA|1	Edwards Primer A Site 2 20151002	20151002	33.016467,-117.273686	A	33.016467	-117.273686				USA	Encinitas	San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University											
Warszawa|20160126|Poland|5	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw											
Oslo|20050630|Norway|1	Cinek.Norway.amplicons.T6376_A	20050630	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20050630			200506	Sanger						
Abuja|20170421|Nigeria|2	Cinek primer A sample 200 20170421	20170421	9.0765,7.3986	A	9.0765	7.3986	200			Nigeria	Abuja			Ondrej Cinek	Univerzita Karlova											
Abuja|20170421|Nigeria|1	Cinek primer A sample 195 20170421	20170421	9.0765,7.3986	A	9.0765	7.3986	195			Nigeria	Abuja			Ondrej Cinek	Univerzita Karlova											
Escondido|20161101|USA|1	Escondido Primer A Site 1 20161101	20161101	33.105788,-117.114064	A	33.105788	-117.114064				USA	Escondido	Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University				201611						1	
Oslo|20050701|Norway|1	Cinek.Norway.amplicons.T6374_A	20050701	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20050701			200507	Sanger						
Modfice|20151201|Czech_Republic|2	Cinek primer A sample 12 20151201	20151201	49.1278897,16.6144122	A	49.1278897	16.6144122	476	Ostrava	pre-sewage treatment plant	Czech_Republic	Modfice			Ondrej Cinek	Univerzita Karlova											
Lisboa|20160225|Portugal|3	Santos Primer A2	20160225	38.7348396,-9.1863262	A	38.7348396	-9.1863262				Portugal	Lisboa	Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049001 Lisboa		Ricardo Santos	Instituto Superior Tecnico											
Oslo|20050702|Norway|1	Cinek.Norway.amplicons.T6384_A	20050702	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20050702			200507	Sanger						
Zerdab|20030925|Azerbaijan|1	Cinek lab sample 323 A 20030925	20030925	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		f	Assembly of 4 reads: 323_A_intf.ab1 (reversed), 323_A_r.ab1, 323_A_intr.ab1, 323_A_f.ab1 (reversed)								
San_Marcos|20161101|USA|1	San_Marcos Primer A Site 4 20161101	20161101	33.144526,-117.178849	A	33.144526	-117.178849				USA	San Marcos	Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University				201611						4	
Zastavka|20151201|Czech_Republic|1	Cinek primer A sample 19 20151201	20151201	49.1874756,16.3586742	A	49.1874756	16.3586742	343	Ostrava	pre-sewage treatment plant	Czech_Republic	Zastavka			Ondrej Cinek	Univerzita Karlova											
Carlsbad|20160101|USA|1	Carlsbad Primer A Site 3 20160101	20160101	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201601						3	
El_Prat_de_Llobregat|20140501|Spain|1	Muniesa E14 El Prat de Llobregat primer A Raw Sewage	20140501	41.3224312,2.0828713	A	41.3224312	2.0828713				Spain	El Prat de Llobregat			Maite Muniesa	Universitat de Barcelona											Raw Sewage
Carlsbad|20151002|USA|1	Edwards Primer A Site 3 20151002	20151002	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University											
Carlsbad|20160901|USA|2	Carlsbad Primer A Site 3 20160301	20160901	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201609						3	
San_Marcos|20160301|USA|1	San_Marcos Primer A Site 4 20160301	20160301	33.144526,-117.178849	A	33.144526	-117.178849				USA	San Marcos	Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University				201603						4	
North_Kurdufan|00000000|Sudan|3	Cinek lab sample 259 A unknown	unknown	12.862807,30.217636	A	12.862807	30.217636				Sudan	North Kurdufan			Ondrej Cinek	Univerzita Karlova		f	Assembly of 4 reads: 259_A_intf.ab1 (reversed), 259_A_r.ab1, 259_A_f.ab1 (reversed), 259_A_intr.ab1								
Gava|20151001|Spain|3	Muniesa 1.1 Gava primer A Primary Treatment	20151001	41.3037013,1.9858569	A	41.3037013	1.9858569				Spain	Gava			Maite Muniesa	Universitat de Barcelona											Primary Treatment
Oslo|20060201|Norway|1	Cinek.Norway.amplicons.T9713_A	20060201	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060201			200602	Sanger						
Lodz|20160303|Poland|4	Decewicz Dziewit Primer A Lodz 20160303	20160303	51.727940,19.347618	A	51.727940	19.347618				Poland	Lodz	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland		Lukasz Dziewit	University of Warsaw											
